2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56143 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56143@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56021 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56021@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56029 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56029@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56031 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56031@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56144 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56144@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56037 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56037@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56117 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56117@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56042 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56042@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56145 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56145@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56050 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56050@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56048 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56048@61616
2018-10-27 16:20:52,380 | WARN  | Transport Connection to: tcp://127.0.0.1:56146 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56146@61616
